featureID,VSURF_score,MeanDecreaseAccuracy,GNPSLinkout_Cluster,GNPSLinkout_Network,INCHI,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,Smiles,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,cluster.index,componentindex,number.of.spectra,parent.mass,precursor.charge,precursor.mass,sum.precursor.intensity.,MolNetEnhancer_CF_componentindex,MolNetEnhancer_CF_NrNodes,MolNetEnhancer_CF_kingdom,MolNetEnhancer_CF_kingdom_score,MolNetEnhancer_CF_superclass,MolNetEnhancer_CF_superclass_score,MolNetEnhancer_CF_class,MolNetEnhancer_CF_class_score,MolNetEnhancer_CF_subclass,MolNetEnhancer_CF_subclass_score,MolNetEnhancer_CF_Dparent,MolNetEnhancer_CF_Dparent_score,MolNetEnhancer_CF_MFramework,MolNetEnhancer_CF_MFramework_score,Qemistree_csi_smiles,Qemistree_ms2_smiles,Qemistree_ms2_library_match,Qemistree_structure_source,Qemistree_kingdom,Qemistree_superclass,Qemistree_class,Qemistree_subclass,Qemistree_direct_parent
id_13657,4.16343784355816e-05,0.00110595174456644,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""13657.0"""",""""main.cluster index_upperinput"""":""""13657.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=236&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,0.6018,0.6018,0,N/A,N/A,91608830,17,13657,236,17,234.8264,1,234.8264,91608830,236,2,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
id_14,0.00473487194887375,0.00126389071998828,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""14.0"""",""""main.cluster index_upperinput"""":""""14.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,0.519,0.519,0,N/A,N/A,17219670000,112,14,85,112,241.9996,1,241.9996,17219670000,85,99,Organic compounds,0.62626263,Organoheterocyclic compounds,0.33272407,Indoles and derivatives,0.18434343,"",0.2843274,Indoles and derivatives,0.18181818,Aromatic heteropolycyclic compounds,0.27734087,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_1410,0.00142458724189908,0.00310899941362072,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1410.0"""",""""main.cluster index_upperinput"""":""""1410.0""""}",This Node is a Singleton,N/A,N/A,N/A,0.5201,0.5201,0,N/A,N/A,302085600,75,1410,-1,75,395.96,1,395.96,302085600,S158,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_146,8.38027740739594e-05,0.00116624351624352,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""146.0"""",""""main.cluster index_upperinput"""":""""146.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=380&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,5.5359,5.5359,0,N/A,N/A,693957800,75,146,380,75,544.3405,1,544.3405,693957800,380,24,Organic compounds,1,Lipids and lipid-like molecules,0.76101191,Glycerophospholipids,0.48531746,Glycerophosphocholines,0.42876984,2-acyl-sn-glycero-3-phosphocholines,0.25362103,Aliphatic acyclic compounds,0.49573413,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O,missing,missing,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1-acyl-sn-glycero-3-phosphocholines
id_1491,0.000142731882203027,0.00123390663390663,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1491.0"""",""""main.cluster index_upperinput"""":""""1491.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=165&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,5.8133,5.8133,0,N/A,N/A,22680790,20,1491,165,20,425.2689,1,425.2689,22680790,165,12,Organic compounds,1,Lipids and lipid-like molecules,0.6817791,Prenol lipids,0.40436508,"",0.17585979,Sesquiterpenoids,0.13769841,Aromatic heteropolycyclic compounds,0.2462963,CC1=C(CO)C(=O)OC(C1)C(C)C2CCC3C4CC=C5C=CC(=O)C5(C)C4CCC23C,missing,missing,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid lactones,Steroid lactones
id_15072,4.56003419390794e-05,0.00279964155885209,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""15072.0"""",""""main.cluster index_upperinput"""":""""15072.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=147&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,5.4263,5.4263,0,N/A,N/A,793450000,47,15072,147,47,490.3746,1,490.3746,793450000,147,41,Organic compounds,0.87804878,Organoheterocyclic compounds,0.2188734,Purine nucleosides,0.13519164,"",0.207259,Purine nucleosides,0.08278165,Aromatic heteropolycyclic compounds,0.42266744,C(CCCCCCCCC(=O)O)CCCCCCCC(=NCCOCCOCCOCCO)O,missing,missing,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids
id_15102,1.51472116025704e-05,0.00185756309445334,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""15102.0"""",""""main.cluster index_upperinput"""":""""15102.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=147&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,5.2093,5.2093,0,N/A,N/A,266962000,40,15102,147,40,562.3747,1,562.3747,266962000,147,41,Organic compounds,0.87804878,Organoheterocyclic compounds,0.2188734,Purine nucleosides,0.13519164,"",0.207259,Purine nucleosides,0.08278165,Aromatic heteropolycyclic compounds,0.42266744,C=CC(CC(C(CC1CCCCC1)N=C(C(CC2=CN=CN2)N=C(CCC3=CNC4=C3C=CC=C4)O)O)O)C(C)C,missing,missing,CSIFingerID,unclassified,unclassified,unclassified,unclassified,unclassified
id_15368,0.000938546044483449,0.00661938630666918,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""15368.0"""",""""main.cluster index_upperinput"""":""""15368.0""""}",This Node is a Singleton,N/A,N/A,N/A,8.255,8.255,0,N/A,N/A,790929400,56,15368,-1,56,373.2115,1,373.2115,790929400,S987,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
id_15539,0.00134493959201473,0.00801373817426449,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""15539.0"""",""""main.cluster index_upperinput"""":""""15539.0""""}",This Node is a Singleton,N/A,N/A,N/A,8.2542,8.2542,0,N/A,N/A,392774500,56,15539,-1,56,441.1995,1,441.1995,392774500,S1010,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
id_1568,0.000582838285177207,0.00149194590773538,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1568.0"""",""""main.cluster index_upperinput"""":""""1568.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,0.5201,0.5201,0,N/A,N/A,133963700,85,1568,85,85,164.0668,1,164.0668,133963700,85,99,Organic compounds,0.62626263,Organoheterocyclic compounds,0.33272407,Indoles and derivatives,0.18434343,"",0.2843274,Indoles and derivatives,0.18181818,Aromatic heteropolycyclic compounds,0.27734087,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_1602,6.94969310718666e-05,0.00201117306236237,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1602.0"""",""""main.cluster index_upperinput"""":""""1602.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,0.612,0.612,0,N/A,N/A,45842740,30,1602,85,30,177.0072,1,177.0072,45842740,85,99,Organic compounds,0.62626263,Organoheterocyclic compounds,0.33272407,Indoles and derivatives,0.18434343,"",0.2843274,Indoles and derivatives,0.18181818,Aromatic heteropolycyclic compounds,0.27734087,CN=NC(=O)N=NC=S(=O)=O,missing,missing,CSIFingerID,unclassified,unclassified,unclassified,unclassified,unclassified
id_16116,0.000477775883585544,0.00466377108520127,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""16116.0"""",""""main.cluster index_upperinput"""":""""16116.0""""}",This Node is a Singleton,N/A,N/A,N/A,8.2561,8.2561,0,N/A,N/A,191778100,54,16116,-1,54,509.1865,1,509.1865,191778100,S1041,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,CC(=NC1=CC=C(C2=NC=C(C=C2)C(=NCC(=NC(CC3=CN=CN3)C(=NCC(=O)O)O)O)O)N=C1)O,missing,missing,CSIFingerID,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides
id_1649,0.00526374850545963,0.0035962036094299,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1649.0"""",""""main.cluster index_upperinput"""":""""1649.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,0.5208,0.5208,0,N/A,N/A,157278500,64,1649,85,64,214.0048,1,214.0048,157278500,85,99,Organic compounds,0.62626263,Organoheterocyclic compounds,0.33272407,Indoles and derivatives,0.18434343,"",0.2843274,Indoles and derivatives,0.18181818,Aromatic heteropolycyclic compounds,0.27734087,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_166,0.000178758247791817,0.0031027852741079,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""166.0"""",""""main.cluster index_upperinput"""":""""166.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=380&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,Spectral Match to Lyso-PC(16:0) from NIST14,0.969326,5.7755,5.7755,0,N/A,CCMSLIB00003136336,2733021000,91,166,380,91,496.3405,1,496.3405,2733021000,380,24,Organic compounds,1,Lipids and lipid-like molecules,0.76101191,Glycerophospholipids,0.48531746,Glycerophosphocholines,0.42876984,2-acyl-sn-glycero-3-phosphocholines,0.25362103,Aliphatic acyclic compounds,0.49573413,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O,missing,Spectral Match to Lyso-PC(16:0) from NIST14,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1-acyl-sn-glycero-3-phosphocholines
id_1719,0.00225672666854053,0.000994913151010712,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1719.0"""",""""main.cluster index_upperinput"""":""""1719.0""""}",This Node is a Singleton,N/A,Spectral Match to 19(20)-EpDPE from NIST14,0.747446,6.1618,6.1618,0,N/A,CCMSLIB00003136864,168661600,62,1719,-1,62,327.2322,1,327.2322,168661600,S178,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,CC#CC1(CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C)O,missing,Spectral Match to 19(20)-EpDPE from NIST14,CSIFingerID,unclassified,unclassified,unclassified,unclassified,unclassified
id_17205,0.00022304164886992,0.00203766728890559,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""17205.0"""",""""main.cluster index_upperinput"""":""""17205.0""""}",This Node is a Singleton,N/A,N/A,N/A,9.0645,9.0645,0,N/A,N/A,89683260,38,17205,-1,38,317.3053,1,317.3053,89683260,S1075,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,CCCCCCCCCCCCCCCCOCC(CO)O,missing,missing,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,Monoalkylglycerols
id_17394,3.1919379565131e-05,0.00301617411957969,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""17394.0"""",""""main.cluster index_upperinput"""":""""17394.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=317&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,7.5259,7.5259,0,N/A,N/A,227738900,45,17394,317,45,403.2848,1,403.2848,227738900,317,3,Organic compounds,1,Lipids and lipid-like molecules,0.47777778,Organooxygen compounds,0.17777778,Carbohydrates and carbohydrate conjugates,0.17777778,C-glycosyl compounds,0.17777778,Aliphatic homopolycyclic compounds,0.3,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)CO,missing,missing,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,2-monoacylglycerols
id_1803,0.000224182480182492,0.0019525541605857,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1803.0"""",""""main.cluster index_upperinput"""":""""1803.0""""}",This Node is a Singleton,N/A,N/A,N/A,7.5009,7.5009,0,N/A,N/A,202960100,45,1803,-1,45,425.2666,1,425.2666,202960100,S182,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
id_1821,9.56020889102903e-05,0.0011048551499771,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1821.0"""",""""main.cluster index_upperinput"""":""""1821.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,9.0861,9.0861,0,N/A,N/A,289572000,88,1821,27,88,537.1498,1,537.1498,289572000,27,26,Organic compounds,0.65384615,Phenylpropanoids and polyketides,0.19629121,Benzene and substituted derivatives,0.10770757,"",0.06498779,Phenylpyrrolidines,0.05769231,Aromatic heteropolycyclic compounds,0.49038462,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_1841,3.73336741522465e-05,0.0012337316905626,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1841.0"""",""""main.cluster index_upperinput"""":""""1841.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=734&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,"Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14",0.853964,6.3787,6.3787,0,N/A,CCMSLIB00003134757,103806900,66,1841,734,66,277.2164,1,277.2164,103806900,734,8,Organic compounds,1,Lipids and lipid-like molecules,1,Fatty Acyls,0.675,Lineolic acids and derivatives,0.37767857,Lineolic acids and derivatives,0.37767857,Aliphatic acyclic compounds,0.77410714,CCC=CC=CC=CC=CCCCCCCCC(=O)O,missing,"Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14",CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lineolic acids and derivatives
id_18434,0.000484259428507229,0.00151847988874626,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""18434.0"""",""""main.cluster index_upperinput"""":""""18434.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=924&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,0.6149,0.6149,0,N/A,N/A,462739700,60,18434,924,60,206.0458,1,206.0458,462739700,924,3,Organic compounds,0.33333333,Organoheterocyclic compounds,0.29166667,Quinolines and derivatives,0.16666667,Quinoline carboxylic acids,0.16666667,Quinoline carboxylic acids,0.16666667,Aromatic heteropolycyclic compounds,0.33333333,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
