sampleid	ATTRIBUTE_MostAbundant	ATTRIBUTE_SampleType	ATTRIBUTE_Site_code	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
metabolite10048	CCA	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10048.0"",""main.cluster index_upperinput"":""10048.0""}"	This Node is a Singleton	N/A	N/A	N/A	9.1474	9.1474	0	N/A	N/A	89179195.24	45	-1	45	744.8517	1	744.8517	89179195.24
metabolite1005	CCA	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1005.0"",""main.cluster index_upperinput"":""1005.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=878&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	0.5538	0.5538	0	N/A	N/A	88925524.98	70	878	70	304.8942	1	304.8942	88925524.98
metabolite10052	Limu	Limu	M3,M4,nan	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10052.0"",""main.cluster index_upperinput"":""10052.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=285&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	6.1985	6.1985	0	N/A	N/A	5468711.608	4	285	4	570.3772	1	570.3772	5468711.608
metabolite10057	Coral	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10057.0"",""main.cluster index_upperinput"":""10057.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=41&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	9.2113	9.2113	0	N/A	N/A	37330866.21	45	41	45	676.8641	1	676.8641	37330866.21
metabolite10058	Coral	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10058.0"",""main.cluster index_upperinput"":""10058.0""}"	This Node is a Singleton	N/A	N/A	N/A	0.609	0.609	0	N/A	N/A	2297400961	69	-1	69	174.1125	1	174.1125	2297400961
metabolite10059	CCA	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10059.0"",""main.cluster index_upperinput"":""10059.0""}"	This Node is a Singleton	N/A	N/A	N/A	9.9965	9.9965	0	N/A	N/A	265106776	47	-1	47	948.8144	1	948.8144	265106776
metabolite10061	Limu	Limu,CCA	M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10061.0"",""main.cluster index_upperinput"":""10061.0""}"	This Node is a Singleton	N/A	N/A	N/A	5.2404	5.2404	0	N/A	N/A	7989707.144	9	-1	9	273.1489	1	273.1489	7989707.144
metabolite10065	Limu	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10065.0"",""main.cluster index_upperinput"":""10065.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=277&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	7.9139	7.9139	0	N/A	N/A	92506969.8	55	277	55	365.269	1	365.269	92506969.8
metabolite10069	Limu	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10069.0"",""main.cluster index_upperinput"":""10069.0""}"	This Node is a Singleton	InChI=1S/C16H24O3/c1-14-10-7-5-3-2-4-6-8-11-15(17)12-9-13-16(18)19-14/h2-3,5,7,9,13-15,17H,4,6,8,10-12H2,1H3/b3-2-,7-5+,13-9+	NCGC00385962-01_C16H24O3_	0.911619	7.8024	7.8024	0	CC1C\C=C\C=C/CCCCC(O)C\C=C\C(=O)O1	CCMSLIB00000854835	372033795.5	40	-1	40	247.1668	1	247.1668	372033795.5
metabolite10074	Coral	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10074.0"",""main.cluster index_upperinput"":""10074.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=35&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	0.6386	0.6386	0	N/A	N/A	438362740.3	34	35	34	289.1393	1	289.1393	438362740.3
metabolite10075	Coral	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10075.0"",""main.cluster index_upperinput"":""10075.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=11&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	7.5078	7.5078	0	N/A	N/A	314043589.7	35	11	35	184.9856	1	184.9856	314043589.7
metabolite10078	Coral	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10078.0"",""main.cluster index_upperinput"":""10078.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=125&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	6.3256	6.3256	0	N/A	N/A	18609407.72	33	125	33	293.211	1	293.211	18609407.72
metabolite10079	CCA	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10079.0"",""main.cluster index_upperinput"":""10079.0""}"	This Node is a Singleton	N/A	N/A	N/A	0.5998	0.5998	0	N/A	N/A	173400542.6	31	-1	31	203.0524	1	203.0524	173400542.6
metabolite1008	CCA	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1008.0"",""main.cluster index_upperinput"":""1008.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=554&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	0.5988	0.5988	0	N/A	N/A	54834746.66	31	554	31	434.1866	1	434.1866	54834746.66
metabolite10083	CCA	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10083.0"",""main.cluster index_upperinput"":""10083.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	5.214	5.214	0	N/A	N/A	22627508.48	23	238	23	309.2058	1	309.2058	22627508.48
metabolite10089	CCA	Coral,Limu,CCA	M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10089.0"",""main.cluster index_upperinput"":""10089.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=691&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	7.7812	7.7812	0	N/A	N/A	114569596.4	19	691	19	665.386	1	665.386	114569596.4
metabolite1009	Limu	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1009.0"",""main.cluster index_upperinput"":""1009.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=943&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	4.3244	4.3244	0	N/A	N/A	7696217.751	14	943	14	198.1855	1	198.1855	7696217.751
metabolite10090	CCA	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10090.0"",""main.cluster index_upperinput"":""10090.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=155&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	1.8351	1.8351	0	N/A	N/A	840202336.6	48	155	48	167.0129	1	167.0129	840202336.6
metabolite10091	Limu	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10091.0"",""main.cluster index_upperinput"":""10091.0""}"	This Node is a Singleton	N/A	N/A	N/A	4.9617	4.9617	0	N/A	N/A	23698910.31	21	-1	21	389.2309	1	389.2309	23698910.31
metabolite10092	Limu	Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10092.0"",""main.cluster index_upperinput"":""10092.0""}"	This Node is a Singleton	N/A	N/A	N/A	5.4967	5.4967	0	N/A	N/A	19002605.64	14	-1	14	371.2207	1	371.2207	19002605.64
metabolite10098	CCA	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10098.0"",""main.cluster index_upperinput"":""10098.0""}"	This Node is a Singleton	N/A	N/A	N/A	8.8851	8.8851	0	N/A	N/A	92043020.86	55	-1	55	744.8521	1	744.8521	92043020.86
metabolite10099	Limu	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10099.0"",""main.cluster index_upperinput"":""10099.0""}"	This Node is a Singleton	N/A	Spectral Match to 14(15)-EpETE from NIST14	0.816868	6.3617	6.3617	0	N/A	CCMSLIB00003138247	24951126.35	26	-1	26	301.2159	1	301.2159	24951126.35
metabolite101	Coral	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""101.0"",""main.cluster index_upperinput"":""101.0""}"	This Node is a Singleton	N/A	N/A	N/A	4.0096	4.0096	0	N/A	N/A	402361677	101	-1	101	183.1495	1	183.1495	402361677
metabolite10101	Limu	Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10101.0"",""main.cluster index_upperinput"":""10101.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=341&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	5.4441	5.4441	0	N/A	N/A	23697147.73	21	341	21	335.2585	1	335.2585	23697147.73
metabolite10103	Limu	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10103.0"",""main.cluster index_upperinput"":""10103.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=879&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	Spectral Match to cis-8,11,14-Eicosatrienoic acid from NIST14	0.756348	7.8857	7.8857	0	N/A	CCMSLIB00003139097	28148071.59	21	879	21	307.2632	1	307.2632	28148071.59
metabolite10104	Limu	Limu,CCA	M3,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10104.0"",""main.cluster index_upperinput"":""10104.0""}"	This Node is a Singleton	N/A	N/A	N/A	5.6339	5.6339	0	N/A	N/A	1405240.299	4	-1	4	219.1741	1	219.1741	1405240.299
metabolite10105	Limu	Limu	M4,nan	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10105.0"",""main.cluster index_upperinput"":""10105.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	7.7896	7.7896	0	N/A	N/A	4873893.748	4	1	4	564.412	1	564.412	4873893.748
metabolite10113	Limu	Coral,Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10113.0"",""main.cluster index_upperinput"":""10113.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=242&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	9.2216	9.2216	0	N/A	N/A	13746715.22	18	242	18	641.4208	1	641.4208	13746715.22
metabolite10116	Limu	Limu,CCA	M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10116.0"",""main.cluster index_upperinput"":""10116.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=130&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	9.6258	9.6258	0	N/A	N/A	10590999.68	7	130	7	311.2367	1	311.2367	10590999.68
metabolite10118	Limu	Coral,Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10118.0"",""main.cluster index_upperinput"":""10118.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1176&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	9.7294	9.7294	0	N/A	N/A	149883827.6	23	1176	23	639.2806	1	639.2806	149883827.6
metabolite10119	Coral	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10119.0"",""main.cluster index_upperinput"":""10119.0""}"	This Node is a Singleton	N/A	N/A	N/A	5.5052	5.5052	0	N/A	N/A	40070276.64	35	-1	35	391.2451	1	391.2451	40070276.64
metabolite10120	CCA	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10120.0"",""main.cluster index_upperinput"":""10120.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=118&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	0.521	0.521	0	N/A	N/A	44503865.49	24	118	24	194.1172	1	194.1172	44503865.49
metabolite10122	CCA	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10122.0"",""main.cluster index_upperinput"":""10122.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=299&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	1.3053	1.3053	0	N/A	N/A	1226040150	41	299	41	199.9877	1	199.9877	1226040150
metabolite10124	CCA	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10124.0"",""main.cluster index_upperinput"":""10124.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=113&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	5.7057	5.7057	0	N/A	N/A	53428058.9	70	113	70	277.1801	1	277.1801	53428058.9
