"","featureID","p_val","sum_sq","f_val","tuk_Coral_CCA_diff","tuk_Coral_CCA_p","tuk_Limu_CCA_diff","tuk_Limu_CCA_p","tuk_Limu_Coral_diff","tuk_Limu_Coral_p","adj_p_val","Limu_MA","Coral_MA","CCA_MA","sample_type_DA","CCA","Coral","Limu","MeanDecreaseAccuracy","MeanDecreaseGini","RF_selection","LM_selection","X","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","LibraryID","MQScore","RTConsensus","RTMean","RTStdErr","Smiles","SpectrumID","SumPeakIntensity","UniqueFileSourcesCount","cluster.index","componentindex","number.of.spectra","parent.mass","precursor.charge","precursor.mass","sum.precursor.intensity.","MolNetEnhancer_CF_componentindex","MolNetEnhancer_CF_NrNodes","MolNetEnhancer_CF_kingdom","MolNetEnhancer_CF_kingdom_score","MolNetEnhancer_CF_superclass","MolNetEnhancer_CF_superclass_score","MolNetEnhancer_CF_class","MolNetEnhancer_CF_class_score","MolNetEnhancer_CF_subclass","MolNetEnhancer_CF_subclass_score","MolNetEnhancer_CF_Dparent","MolNetEnhancer_CF_Dparent_score","MolNetEnhancer_CF_MFramework","MolNetEnhancer_CF_MFramework_score","Qemistree_csi_smiles","Qemistree_ms2_smiles","Qemistree_ms2_library_match","Qemistree_structure_source","Qemistree_kingdom","Qemistree_superclass","Qemistree_class","Qemistree_subclass","Qemistree_direct_parent"
"11","id_13657",1.70532569657005e-15,212.374712756635,48.7037965240456,-0.0500311667734865,0.987628273453142,3.36965776604272,1.21654686324746e-10,3.41968893281621,1.21490373317101e-10,3.34992516101833e-13,2.74297245268262,-0.676716480133594,-0.626685313360107,"Limu",0.00110490196078431,0.000704761904761905,0.00182051282051282,0.00110595174456644,0.191268807654466,"Important","Significant","id_13657","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""13657.0"""",""""main.cluster index_upperinput"""":""""13657.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=236&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",0.6018,0.6018,0,"N/A","N/A",91608830,17,13657,236,17,234.8264,1,234.8264,91608830,"236",2,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D"
"12","id_14",3.44792385169318e-15,43.5695466021099,47.3237537101816,1.01988055042388,4.47312697993141e-09,1.66265256697721,1.21461285473856e-10,0.642772016553335,0.00101225724917298,6.17101748923042e-13,9.57480641420242,8.93203439764909,7.91215384722521,"CoralLimu",0.00121272061272061,0.000599358974358974,0.00256829836829837,0.00126389071998828,0.194988868167648,"Important","Significant","id_14","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""14.0"""",""""main.cluster index_upperinput"""":""""14.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",0.519,0.519,0,"N/A","N/A",17219670000,112,14,85,112,241.9996,1,241.9996,17219670000,"85",99,"Organic compounds",0.62626263,"Organoheterocyclic compounds",0.33272407,"Indoles and derivatives",0.18434343,"",0.2843274,"Indoles and derivatives",0.18181818,"Aromatic heteropolycyclic compounds",0.27734087,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"13","id_1410",1.60145077632252e-10,252.102738893682,28.5018212341862,2.37600069047694,6.96429078828054e-06,4.03134778691255,3.18368664764535e-10,1.65534709643561,0.00755865611034257,1.13141092565803e-08,5.57676326508246,3.92141616864685,1.54541547816991,"CoralLimu",0.00373395819866408,0.000646218487394958,0.00615930735930736,0.00310899941362072,0.328348452923737,"Important","Significant","id_1410","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1410.0"""",""""main.cluster index_upperinput"""":""""1410.0""""}","This Node is a Singleton","N/A","N/A","N/A",0.5201,0.5201,0,"N/A","N/A",302085600,75,1410,-1,75,395.96,1,395.96,302085600,"S158",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"14","id_146",0.000154046201441351,130.95292903527,9.59598256976697,0.027817314827848,0.998770878396379,2.6818429740985,0.000477905903377707,2.65402565927065,0.000394707194457999,0.00105775351607384,5.71835900380347,3.06433334453282,3.03651602970497,"Limu",0.000665789473684211,0.000457142857142857,0.00312474747474748,0.00116624351624352,0.159015036599504,"Important","Not Significant","id_146","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""146.0"""",""""main.cluster index_upperinput"""":""""146.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=380&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",5.5359,5.5359,0,"N/A","N/A",693957800,75,146,380,75,544.3405,1,544.3405,693957800,"380",24,"Organic compounds",1,"Lipids and lipid-like molecules",0.76101191,"Glycerophospholipids",0.48531746,"Glycerophosphocholines",0.42876984,"2-acyl-sn-glycero-3-phosphocholines",0.25362103,"Aliphatic acyclic compounds",0.49573413,"CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O","missing","missing","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-acyl-sn-glycero-3-phosphocholines"
"15","id_1491",7.32324170533458e-15,157.563772629327,45.8685010382724,-0.254555779241711,0.665742036211011,2.77849397515533,1.25839227926861e-10,3.03304975439704,1.21491483540126e-10,1.22877893114093e-12,2.35633327426345,-0.676716480133594,-0.422160700891882,"Limu",0.00111288515406162,0.000490079365079365,0.00284126984126984,0.00123390663390663,0.198052283446333,"Important","Significant","id_1491","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1491.0"""",""""main.cluster index_upperinput"""":""""1491.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=165&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",5.8133,5.8133,0,"N/A","N/A",22680790,20,1491,165,20,425.2689,1,425.2689,22680790,"165",12,"Organic compounds",1,"Lipids and lipid-like molecules",0.6817791,"Prenol lipids",0.40436508,"",0.17585979,"Sesquiterpenoids",0.13769841,"Aromatic heteropolycyclic compounds",0.2462963,"CC1=C(CO)C(=O)OC(C1)C(C)C2CCC3C4CC=C5C=CC(=O)C5(C)C4CCC23C","missing","missing","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid lactones","Steroid lactones"
"16","id_15072",2.07048067637339e-14,651.466274946118,43.8963219554833,5.4659989366671,1.21531895658222e-10,1.04491039955255,0.312821733459837,-4.42108853711455,1.990573905708e-08,3.18827058791927e-12,0.98355410597676,5.40464264309132,-0.0613562935757877,"Coral",0.00362527472527473,0.00348598901098901,8.33333333333333e-05,0.00279964155885209,0.270725863339505,"Important","Significant","id_15072","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""15072.0"""",""""main.cluster index_upperinput"""":""""15072.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=147&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",5.4263,5.4263,0,"N/A","N/A",793450000,47,15072,147,47,490.3746,1,490.3746,793450000,"147",41,"Organic compounds",0.87804878,"Organoheterocyclic compounds",0.2188734,"Purine nucleosides",0.13519164,"",0.207259,"Purine nucleosides",0.08278165,"Aromatic heteropolycyclic compounds",0.42266744,"C(CCCCCCCCC(=O)O)CCCCCCCC(=NCCOCCOCCOCCO)O","missing","missing","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids"
"17","id_15102",8.4447534618497e-13,442.7839238618,37.1842959585272,4.51501198287474,1.23899335235933e-10,0.893721117243359,0.346096521273359,-3.62129086563138,2.33184173303869e-07,9.57944287066725e-11,0.514501341739147,4.13579220737053,-0.379219775504211,"Coral",0.0010993006993007,0.00236552467140702,0.00197222222222222,0.00185756309445334,0.17730728312236,"Important","Significant","id_15102","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""15102.0"""",""""main.cluster index_upperinput"""":""""15102.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=147&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",5.2093,5.2093,0,"N/A","N/A",266962000,40,15102,147,40,562.3747,1,562.3747,266962000,"147",41,"Organic compounds",0.87804878,"Organoheterocyclic compounds",0.2188734,"Purine nucleosides",0.13519164,"",0.207259,"Purine nucleosides",0.08278165,"Aromatic heteropolycyclic compounds",0.42266744,"C=CC(CC(C(CC1CCCCC1)N=C(C(CC2=CN=CN2)N=C(CCC3=CNC4=C3C=CC=C4)O)O)O)C(C)C","missing","missing","CSIFingerID","unclassified","unclassified","unclassified","unclassified","unclassified"
"18","id_15368",1.73983364948003e-26,894.689543902802,113.741909176723,6.55505236826861,1.21427090604698e-10,1.8458362316763,0.00168601553846526,-4.70921613659231,1.21466614544374e-10,8.24271777230127e-24,1.55751317168051,6.26672930827282,-0.288323059995788,"CoralLimu",0.00610436671171965,0.00989630511387477,0.00192222222222222,0.00661938630666918,0.58008871748889,"Important","Significant","id_15368","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""15368.0"""",""""main.cluster index_upperinput"""":""""15368.0""""}","This Node is a Singleton","N/A","N/A","N/A",8.255,8.255,0,"N/A","N/A",790929400,56,15368,-1,56,373.2115,1,373.2115,790929400,"S987",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D"
"19","id_15539",2.00833889085199e-26,785.908308303182,113.272583358102,6.14378923637476,1.21427090604698e-10,1.73069334410862,0.00171932434274913,-4.41309589226614,1.21468279878911e-10,8.9862007927344e-24,1.45232370272427,5.8654195949904,-0.278369641384358,"CoralLimu",0.00788245614035088,0.0108879280849869,0.00423340548340548,0.00801373817426449,0.599160644334766,"Important","Significant","id_15539","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""15539.0"""",""""main.cluster index_upperinput"""":""""15539.0""""}","This Node is a Singleton","N/A","N/A","N/A",8.2542,8.2542,0,"N/A","N/A",392774500,56,15539,-1,56,441.1995,1,441.1995,392774500,"S1010",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D"
"20","id_1568",1.08582071181269e-06,90.3337690218261,15.8043861048419,1.52877339429418,0.000341527321324975,2.36513542226675,1.75593647300243e-06,0.836362027972565,0.134655564848234,2.03850816152433e-05,4.6457996005718,3.80943757259924,2.28066417830505,"CoralLimu",0.0014156629318394,0.000736111111111111,0.00338888888888889,0.00149194590773538,0.200139233333922,"Important","Significant","id_1568","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1568.0"""",""""main.cluster index_upperinput"""":""""1568.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",0.5201,0.5201,0,"N/A","N/A",133963700,85,1568,85,85,164.0668,1,164.0668,133963700,"85",99,"Organic compounds",0.62626263,"Organoheterocyclic compounds",0.33272407,"Indoles and derivatives",0.18434343,"",0.2843274,"Indoles and derivatives",0.18181818,"Aromatic heteropolycyclic compounds",0.27734087,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"21","id_1602",7.94622643550925e-12,264.589494306751,33.3617427979035,3.20585126688003,5.77593750605843e-10,-0.137113372474474,0.962683753688778,-3.3429646393545,7.29268556654006e-09,7.27260314904449e-10,-0.640405946418496,2.70255869293601,-0.503292573944021,"Coral",0.00291634199134199,0.00223113666519239,0.000262626262626263,0.00201117306236237,0.241207187389916,"Important","Significant","id_1602","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1602.0"""",""""main.cluster index_upperinput"""":""""1602.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",0.612,0.612,0,"N/A","N/A",45842740,30,1602,85,30,177.0072,1,177.0072,45842740,"85",99,"Organic compounds",0.62626263,"Organoheterocyclic compounds",0.33272407,"Indoles and derivatives",0.18434343,"",0.2843274,"Indoles and derivatives",0.18181818,"Aromatic heteropolycyclic compounds",0.27734087,"CN=NC(=O)N=NC=S(=O)=O","missing","missing","CSIFingerID","unclassified","unclassified","unclassified","unclassified","unclassified"
"22","id_16116",3.98526179640963e-23,611.696249275222,90.2687307534211,5.321916941056,1.21428200827722e-10,1.10772974685056,0.0609482801533072,-4.21418719420544,1.2151690764739e-10,1.33738743784513e-20,0.843755765722523,5.05794295992797,-0.263973981128033,"Coral",0.0038100463262228,0.00679715241758586,0.00248010878010878,0.00466377108520127,0.456733295076646,"Important","Significant","id_16116","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""16116.0"""",""""main.cluster index_upperinput"""":""""16116.0""""}","This Node is a Singleton","N/A","N/A","N/A",8.2561,8.2561,0,"N/A","N/A",191778100,54,16116,-1,54,509.1865,1,509.1865,191778100,"S1041",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"CC(=NC1=CC=C(C2=NC=C(C=C2)C(=NCC(=NC(CC3=CN=CN3)C(=NCC(=O)O)O)O)O)N=C1)O","missing","missing","CSIFingerID","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides"
