sample_id,sample_barcode,DNA_barcode,collection_label,analysis,project,site_code,site_name,distance,collection_date,collection_time,sample_type,habitat,host,trophic,site_type,metadata,lat,long,lat.long,processing,notes,rainfall,elevation,shore_dist,shore_dist_Range
WMEA_01800_No_3,01800,1801,Water,MS,SuperTransect,3,STEstuary3,200m,20190619,10:55,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.639674,-158.060752,21.639674|-158.060752,Ship to Dorrestein lab,,1207.720947,0,307.2795498,0to3km
WMEA_01802_No_3,01802,1803,Sediment,MS,SuperTransect,3,STEstuary3,200m,20190619,10:55,Sediment,Riverine,Nonhost,Environmental,Transect,,21.639674,-158.060752,21.639674|-158.060752,Ship to Dorrestein lab,,1207.720947,0,307.2795498,0to3km
WMEA_01804_No_4,01804,1805,SoilShallow,MS,SuperTransect,4,STEstuary4,300m,20190619,11:13,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63887403,-158.060384,21.63887403|-158.060384,Ship to Dorrestein lab,,1212.093018,0,380.0438305,0to3km
WMEA_01806_No_4,01806,1807,SoilDeep,MS,SuperTransect,4,STEstuary4,300m,20190619,11:13,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63887403,-158.060384,21.63887403|-158.060384,Ship to Dorrestein lab,,1212.093018,0,380.0438305,0to3km
WMEA_01808_No_4,01808,1809,Water,MS,SuperTransect,4,STEstuary4,300m,20190619,11:10,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63887403,-158.060384,21.63887403|-158.060384,Ship to Dorrestein lab,,1212.093018,0,380.0438305,0to3km
WMEA_01810_No_4,01810,1811,Sediment,MS,SuperTransect,4,STEstuary4,300m,20190619,11:13,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63887403,-158.060384,21.63887403|-158.060384,Ship to Dorrestein lab,,1212.093018,0,380.0438305,0to3km
WMEA_01812_No_5,01812,1813,SoilShallow,MS,SuperTransect,5,STEstuary5,400m,20190619,11:42,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63858703,-158.059519,21.63858703|-158.059519,Ship to Dorrestein lab,,1212.093018,0.3610959351,473.6083808,0to3km
WMEA_01814_No_5,01814,1815,SoilDeep,MS,SuperTransect,5,STEstuary5,400m,20190619,11:42,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63858703,-158.059519,21.63858703|-158.059519,Ship to Dorrestein lab,,1212.093018,0.3610959351,473.6083808,0to3km
WMEA_01816_No_5,01816,1817,Water,MS,SuperTransect,5,STEstuary5,400m,20190619,11:30,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63858703,-158.059519,21.63858703|-158.059519,Ship to Dorrestein lab,,1212.093018,0.3610959351,473.6083808,0to3km
WMEA_01818_No_5,01818,1819,Sediment,MS,SuperTransect,5,STEstuary5,400m,20190619,11:31,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63858703,-158.059519,21.63858703|-158.059519,Ship to Dorrestein lab,,1212.093018,0.3610959351,473.6083808,0to3km
WMEA_01820_No_6,01820,1821,SoilShallow,MS,SuperTransect,6,STEstuary6,500m,20190619,12:30,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63821798,-158.058617,21.63821798|-158.058617,Ship to Dorrestein lab,,1245.245972,1,575.2306269,0to3km
WMEA_01822_No_6,01822,1823,SoilDeep,MS,SuperTransect,6,STEstuary6,500m,20190619,12:30,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63821798,-158.058617,21.63821798|-158.058617,Ship to Dorrestein lab,,1245.245972,1,575.2306269,0to3km
WMEA_01824_No_6,01824,1825,Water,MS,SuperTransect,6,STEstuary6,500m,20190619,12:05,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63821798,-158.058617,21.63821798|-158.058617,Ship to Dorrestein lab,,1245.245972,1,575.2306269,0to3km
WMEA_01826_No_6,01826,1827,Sediment,MS,SuperTransect,6,STEstuary6,500m,20190619,12:08,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63821798,-158.058617,21.63821798|-158.058617,Ship to Dorrestein lab,,1245.245972,1,575.2306269,0to3km
WMEA_01852_No_1,01852,1853,SoilShallow,MS,SuperTransect,1,STGardens1,0m,20190618,9:26,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63763602,-158.058171,21.63763602|-158.058171,Ship to Dorrestein lab,,1245.245972,1.10801661,647.0168203,0to3km
WMEA_01854_No_1,01854,1855,SoilDeep,MS,SuperTransect,1,STGardens1,0m,20190618,9:23,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63763602,-158.058171,21.63763602|-158.058171,Ship to Dorrestein lab,,1245.245972,1.10801661,647.0168203,0to3km
WMEA_01856_No_1,01856,1857,Water,MS,SuperTransect,1,STGardens1,0m,20190618,9:15,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63763602,-158.058171,21.63763602|-158.058171,Ship to Dorrestein lab,,1245.245972,1.10801661,647.0168203,0to3km
WMEA_01858_No_1,01858,1859,Sediment,MS,SuperTransect,1,STGardens1,0m,20190618,9:22,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63763602,-158.058171,21.63763602|-158.058171,Ship to Dorrestein lab,,1245.245972,1.10801661,647.0168203,0to3km
WMEA_01860_No_2,01860,1861,SoilShallow,MS,SuperTransect,2,STGardens2,100m,20190618,9:50,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63719002,-158.057326,21.63719002|-158.057326,Ship to Dorrestein lab,,1245.245972,1.43277359,747.4455465,0to3km
WMEA_01862_No_2,01862,1863,SoilDeep,MS,SuperTransect,2,STGardens2,100m,20190618,9:55,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63719002,-158.057326,21.63719002|-158.057326,Ship to Dorrestein lab,,1245.245972,1.43277359,747.4455465,0to3km
WMEA_01864_No_2,01864,1865,Water,MS,SuperTransect,2,STGardens2,100m,20190618,9:49,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63719002,-158.057326,21.63719002|-158.057326,Ship to Dorrestein lab,,1245.245972,1.43277359,747.4455465,0to3km
WMEA_01866_No_2,01866,1867,Sediment,MS,SuperTransect,2,STGardens2,100m,20190618,9:55,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63719002,-158.057326,21.63719002|-158.057326,Ship to Dorrestein lab,,1245.245972,1.43277359,747.4455465,0to3km
WMEA_01868_No_3,01868,1869,SoilShallow,MS,SuperTransect,3,STGardens3,200m,20190618,10:16,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63655903,-158.056741,21.63655903|-158.056741,Ship to Dorrestein lab,,1248.900024,2.657077789,835.6649023,0to3km
WMEA_01870_No_3,01870,1871,SoilDeep,MS,SuperTransect,3,STGardens3,200m,20190618,10:16,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63655903,-158.056741,21.63655903|-158.056741,Ship to Dorrestein lab,,1248.900024,2.657077789,835.6649023,0to3km
WMEA_01872_No_3,01872,1873,Water,MS,SuperTransect,3,STGardens3,200m,20190618,10:09,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63655903,-158.056741,21.63655903|-158.056741,Ship to Dorrestein lab,,1248.900024,2.657077789,835.6649023,0to3km
WMEA_01874_No_3,01874,1875,Sediment,MS,SuperTransect,3,STGardens3,200m,20190618,10:12,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63655903,-158.056741,21.63655903|-158.056741,Ship to Dorrestein lab,,1248.900024,2.657077789,835.6649023,0to3km
WMEA_01876_No_4,01876,1877,SoilShallow,MS,SuperTransect,4,STGardens4,300m,20190618,10:37,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63621102,-158.055751,21.63621102|-158.055751,Ship to Dorrestein lab,,1283.647949,5.229394913,943.0290762,0to3km
WMEA_01878_No_4,01878,1879,SoilDeep,MS,SuperTransect,4,STGardens4,300m,20190618,10:38,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63621102,-158.055751,21.63621102|-158.055751,Ship to Dorrestein lab,,1283.647949,5.229394913,943.0290762,0to3km
WMEA_01880_No_4,01880,1881,Water,MS,SuperTransect,4,STGardens4,300m,20190618,10:30,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63621102,-158.055751,21.63621102|-158.055751,Ship to Dorrestein lab,,1283.647949,5.229394913,943.0290762,0to3km
WMEA_01882_No_4,01882,1883,Sediment,MS,SuperTransect,4,STGardens4,300m,20190618,10:33,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63621102,-158.055751,21.63621102|-158.055751,Ship to Dorrestein lab,,1283.647949,5.229394913,943.0290762,0to3km
WMEA_01884_No_5,01884,1885,SoilShallow,MS,SuperTransect,5,STGardens5,400m,20190618,10:53,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63568899,-158.054933,21.63568899|-158.054933,Ship to Dorrestein lab,,1283.647949,10.74594975,1045.425431,0to3km
WMEA_01886_No_5,01886,1887,SoilDeep,MS,SuperTransect,5,STGardens5,400m,20190618,10:54,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63568899,-158.054933,21.63568899|-158.054933,Ship to Dorrestein lab,,1283.647949,10.74594975,1045.425431,0to3km
WMEA_01888_No_5,01888,1889,Water,MS,SuperTransect,5,STGardens5,400m,20190618,10:50,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63568899,-158.054933,21.63568899|-158.054933,Ship to Dorrestein lab,,1283.647949,10.74594975,1045.425431,0to3km
WMEA_01890_No_5,01890,1891,Sediment,MS,SuperTransect,5,STGardens5,400m,20190618,10:52,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63568899,-158.054933,21.63568899|-158.054933,Ship to Dorrestein lab,,1283.647949,10.74594975,1045.425431,0to3km
WMEA_01892_No_6,01892,1893,SoilShallow,MS,SuperTransect,6,STGardens6,500m,20190618,11:20,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63486999,-158.054402,21.63486999|-158.054402,Ship to Dorrestein lab,,1283.647949,9.736891747,1140.753012,0to3km
WMEA_01894_No_6,01894,1895,SoilDeep,MS,SuperTransect,6,STGardens6,500m,20190618,11:23,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63486999,-158.054402,21.63486999|-158.054402,Ship to Dorrestein lab,,1283.647949,9.736891747,1140.753012,0to3km
WMEA_01896_No_6,01896,1897,Water,MS,SuperTransect,6,STGardens6,500m,20190618,11:11,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63486999,-158.054402,21.63486999|-158.054402,Ship to Dorrestein lab,,1283.647949,9.736891747,1140.753012,0to3km
WMEA_01898_No_6,01898,1899,Sediment,MS,SuperTransect,6,STGardens6,500m,20190618,11:15,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63486999,-158.054402,21.63486999|-158.054402,Ship to Dorrestein lab,,1283.647949,9.736891747,1140.753012,0to3km
WMEA_01900_No_7,01900,1901,SoilShallow,MS,SuperTransect,7,STGardens7,600m,20190618,11:45,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63407103,-158.053857,21.63407103|-158.053857,Ship to Dorrestein lab,,1323.670044,12,1237.694652,0to3km
WMEA_01902_No_7,01902,1903,SoilDeep,MS,SuperTransect,7,STGardens7,600m,20190618,11:50,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63407103,-158.053857,21.63407103|-158.053857,Ship to Dorrestein lab,,1323.670044,12,1237.694652,0to3km
WMEA_01904_No_7,01904,1905,Water,MS,SuperTransect,7,STGardens7,600m,20190618,11:42,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63407103,-158.053857,21.63407103|-158.053857,Ship to Dorrestein lab,,1323.670044,12,1237.694652,0to3km
WMEA_01906_No_7,01906,1907,Sediment,MS,SuperTransect,7,STGardens7,600m,20190618,11:45,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63407103,-158.053857,21.63407103|-158.053857,Ship to Dorrestein lab,,1323.670044,12,1237.694652,0to3km
WMEA_01908_No_8,01908,1909,SoilShallow,MS,SuperTransect,8,STGardens8,700m,20190618,12:00,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63361698,-158.052984,21.63361698|-158.052984,Ship to Dorrestein lab,,1323.670044,12.99216461,1340.435352,0to3km
WMEA_01910_No_8,01910,1911,SoilDeep,MS,SuperTransect,8,STGardens8,700m,20190618,12:02,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63361698,-158.052984,21.63361698|-158.052984,Ship to Dorrestein lab,,1323.670044,12.99216461,1340.435352,0to3km
WMEA_01912_No_8,01912,1913,Water,MS,SuperTransect,8,STGardens8,700m,20190618,11:55,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63361698,-158.052984,21.63361698|-158.052984,Ship to Dorrestein lab,,1323.670044,12.99216461,1340.435352,0to3km
WMEA_01914_No_8,01914,1915,Sediment,MS,SuperTransect,8,STGardens8,700m,20190618,11:57,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63361698,-158.052984,21.63361698|-158.052984,Ship to Dorrestein lab,,1323.670044,12.99216461,1340.435352,0to3km
WMEA_01916_No_9,01916,1917,SoilShallow,MS,SuperTransect,9,STGardens9,800m,20190618,12:25,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63334801,-158.052043,21.63334801|-158.052043,Ship to Dorrestein lab,,1323.670044,19.28332329,1437.455815,0to3km
WMEA_01918_No_9,01918,1919,SoilDeep,MS,SuperTransect,9,STGardens9,800m,20190618,12:29,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63334801,-158.052043,21.63334801|-158.052043,Ship to Dorrestein lab,,1323.670044,19.28332329,1437.455815,0to3km
WMEA_01920_No_9,01920,1921,Water,MS,SuperTransect,9,STGardens9,800m,20190618,12:19,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63334801,-158.052043,21.63334801|-158.052043,Ship to Dorrestein lab,,1323.670044,19.28332329,1437.455815,0to3km
WMEA_01922_No_9,01922,1923,Sediment,MS,SuperTransect,9,STGardens9,800m,20190618,12:22,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63334801,-158.052043,21.63334801|-158.052043,Ship to Dorrestein lab,,1323.670044,19.28332329,1437.455815,0to3km
WMEA_01924_No_1,01924,1925,SoilShallow,MS,SuperTransect,1,STFalls1,0m,20190618,14:21,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63251904,-158.050406,21.63251904|-158.050406,Ship to Dorrestein lab,,1357.352051,17.4087925,1629.354499,0to3km
WMEA_01926_No_1,01926,1927,SoilDeep,MS,SuperTransect,1,STFalls1,0m,20190618,14:21,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63251904,-158.050406,21.63251904|-158.050406,Ship to Dorrestein lab,,1357.352051,17.4087925,1629.354499,0to3km
WMEA_01928_No_1,01928,1929,Water,MS,SuperTransect,1,STFalls1,0m,20190618,14:15,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63251904,-158.050406,21.63251904|-158.050406,Ship to Dorrestein lab,,1357.352051,17.4087925,1629.354499,0to3km
WMEA_01930_No_1,01930,1931,Sediment,MS,SuperTransect,1,STFalls1,0m,20190618,14:15,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63251904,-158.050406,21.63251904|-158.050406,Ship to Dorrestein lab,,1357.352051,17.4087925,1629.354499,0to3km
WMEA_01932_No_2,01932,1933,SoilShallow,MS,SuperTransect,2,STFalls2,100m,20190618,14:20,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63298398,-158.051186,21.63298398|-158.051186,Ship to Dorrestein lab,,1357.352051,17.16485977,1533.603268,0to3km
WMEA_01934_No_2,01934,1935,SoilDeep,MS,SuperTransect,2,STFalls2,100m,20190618,14:22,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63298398,-158.051186,21.63298398|-158.051186,Ship to Dorrestein lab,,1357.352051,17.16485977,1533.603268,0to3km
WMEA_01936_No_2,01936,1937,Water,MS,SuperTransect,2,STFalls2,100m,20190618,14:07,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63298398,-158.051186,21.63298398|-158.051186,Ship to Dorrestein lab,,1357.352051,17.16485977,1533.603268,0to3km
WMEA_01938_No_2,01938,1939,Sediment,MS,SuperTransect,2,STFalls2,100m,20190618,14:12,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63298398,-158.051186,21.63298398|-158.051186,Ship to Dorrestein lab,,1357.352051,17.16485977,1533.603268,0to3km
WMEA_01940_No_3,01940,1941,SoilShallow,MS,SuperTransect,3,STFalls3,200m,20190618,14:31,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63184203,-158.049687,21.63184203|-158.049687,Ship to Dorrestein lab,,1395.904053,20.61804008,1732.91325,0to3km
WMEA_01942_No_3,01942,1943,SoilDeep,MS,SuperTransect,3,STFalls3,200m,20190618,14:34,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63184203,-158.049687,21.63184203|-158.049687,Ship to Dorrestein lab,,1395.904053,20.61804008,1732.91325,0to3km
WMEA_01944_No_3,01944,1945,Water,MS,SuperTransect,3,STFalls3,200m,20190618,14:20,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63184203,-158.049687,21.63184203|-158.049687,Ship to Dorrestein lab,,1395.904053,20.61804008,1732.91325,0to3km
WMEA_01946_No_3,01946,1947,Sediment,MS,SuperTransect,3,STFalls3,200m,20190618,14:25,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63184203,-158.049687,21.63184203|-158.049687,Ship to Dorrestein lab,Time collected not recorded,1395.904053,20.61804008,1732.91325,0to3km
WMEA_01948_No_4,01948,1949,SoilShallow,MS,SuperTransect,4,STFalls4,300m,20190619,9:50,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.631132,-158.048925,21.631132|-158.048925,Ship to Dorrestein lab,,1395.904053,34.54460526,1842.45159,0to3km
WMEA_01950_No_4,01950,NA,SoilDeep,MS,SuperTransect,4,STFalls4,300m,20190619,9:50,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.631132,-158.048925,21.631132|-158.048925,Ship to Dorrestein lab,,1395.904053,34.54460526,1842.45159,0to3km
WMEA_01952_No_4,01952,1953,Water,MS,SuperTransect,4,STFalls4,300m,20190619,9:50,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.631132,-158.048925,21.631132|-158.048925,Ship to Dorrestein lab,,1395.904053,34.54460526,1842.45159,0to3km
WMEA_01954_No_4,01954,1955,Sediment,MS,SuperTransect,4,STFalls4,300m,20190619,9:50,Sediment,Riverine,Nonhost,Environmental,Transect,,21.631132,-158.048925,21.631132|-158.048925,Ship to Dorrestein lab,,1395.904053,34.54460526,1842.45159,0to3km
WMEA_01956_No_5,01956,1957,SoilShallow,MS,SuperTransect,5,STFalls5,400m,20190619,10:10,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63102999,-158.047911,21.63102999|-158.047911,Ship to Dorrestein lab,,1395.904053,23,1935.757686,0to3km
WMEA_01958_No_5,01958,1959,SoilDeep,MS,SuperTransect,5,STFalls5,400m,20190619,10:10,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63102999,-158.047911,21.63102999|-158.047911,Ship to Dorrestein lab,,1395.904053,23,1935.757686,0to3km
WMEA_01960_No_5,01960,1961,Water,MS,SuperTransect,5,STFalls5,400m,20190619,10:10,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63102999,-158.047911,21.63102999|-158.047911,Ship to Dorrestein lab,,1395.904053,23,1935.757686,0to3km
WMEA_01962_No_5,01962,1963,Sediment,MS,SuperTransect,5,STFalls5,400m,20190619,10:10,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63102999,-158.047911,21.63102999|-158.047911,Ship to Dorrestein lab,,1395.904053,23,1935.757686,0to3km
WMEA_01964_No_6,01964,1965,SoilShallow,MS,SuperTransect,6,STFalls6,500m,20190619,10:40,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63095296,-158.046987,21.63095296|-158.046987,Ship to Dorrestein lab,,1429.296021,25.64711189,2020.898342,0to3km
WMEA_01966_No_6,01966,1967,SoilDeep,MS,SuperTransect,6,STFalls6,500m,20190619,10:40,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63095296,-158.046987,21.63095296|-158.046987,Ship to Dorrestein lab,,1429.296021,25.64711189,2020.898342,0to3km
WMEA_01968_No_6,01968,1969,Water,MS,SuperTransect,6,STFalls6,500m,20190619,10:40,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63095296,-158.046987,21.63095296|-158.046987,Ship to Dorrestein lab,,1429.296021,25.64711189,2020.898342,0to3km
WMEA_01970_No_6,01970,NA,Sediment,MS,SuperTransect,6,STFalls6,500m,20190619,10:40,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63095296,-158.046987,21.63095296|-158.046987,Ship to Dorrestein lab,,1429.296021,25.64711189,2020.898342,0to3km
WMEA_01972_No_7,01972,1973,SoilShallow,MS,SuperTransect,7,STFalls7,600m,20190619,11:00,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63090996,-158.046015,21.63090996|-158.046015,Ship to Dorrestein lab,,1429.296021,26.53425407,2109.319427,0to3km
WMEA_01974_No_7,01974,1975,SoilDeep,MS,SuperTransect,7,STFalls7,600m,20190619,11:00,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63090996,-158.046015,21.63090996|-158.046015,Ship to Dorrestein lab,,1429.296021,26.53425407,2109.319427,0to3km
WMEA_01976_No_7,01976,1977,Water,MS,SuperTransect,7,STFalls7,600m,20190619,11:00,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63090996,-158.046015,21.63090996|-158.046015,Ship to Dorrestein lab,,1429.296021,26.53425407,2109.319427,0to3km
WMEA_01978_No_7,01978,1979,Sediment,MS,SuperTransect,7,STFalls7,600m,20190619,11:00,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63090996,-158.046015,21.63090996|-158.046015,Ship to Dorrestein lab,,1429.296021,26.53425407,2109.319427,0to3km
WMEA_01980_No_8,01980,1981,SoilShallow,MS,SuperTransect,8,STFalls8,700m,20190619,11:20,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63051903,-158.045226,21.63051903|-158.045226,Ship to Dorrestein lab,,1461.651978,27.55827713,2201.66019,0to3km
WMEA_01982_No_8,01982,1983,SoilDeep,MS,SuperTransect,8,STFalls8,700m,20190619,11:20,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63051903,-158.045226,21.63051903|-158.045226,Ship to Dorrestein lab,,1461.651978,27.55827713,2201.66019,0to3km
WMEA_01984_No_8,01984,1985,Water,MS,SuperTransect,8,STFalls8,700m,20190619,11:20,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63051903,-158.045226,21.63051903|-158.045226,Ship to Dorrestein lab,,1461.651978,27.55827713,2201.66019,0to3km
WMEA_01986_No_8,01986,1987,Sediment,MS,SuperTransect,8,STFalls8,700m,20190619,11:20,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63051903,-158.045226,21.63051903|-158.045226,Ship to Dorrestein lab,,1461.651978,27.55827713,2201.66019,0to3km
WMEA_01988_No_9,01988,1989,SoilShallow,MS,SuperTransect,9,STFalls9,800m,20190619,11:40,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63056597,-158.044273,21.63056597|-158.044273,Ship to Dorrestein lab,,1461.651978,29.84057236,2284.624623,0to3km
WMEA_01990_No_9,01990,1991,SoilDeep,MS,SuperTransect,9,STFalls9,800m,20190619,11:40,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63056597,-158.044273,21.63056597|-158.044273,Ship to Dorrestein lab,,1461.651978,29.84057236,2284.624623,0to3km
WMEA_01992_No_9,01992,1993,Water,MS,SuperTransect,9,STFalls9,800m,20190619,11:40,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63056597,-158.044273,21.63056597|-158.044273,Ship to Dorrestein lab,,1461.651978,29.84057236,2284.624623,0to3km
WMEA_01994_No_9,01994,1995,Sediment,MS,SuperTransect,9,STFalls9,800m,20190619,11:40,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63056597,-158.044273,21.63056597|-158.044273,Ship to Dorrestein lab,,1461.651978,29.84057236,2284.624623,0to3km
WMEA_01996_No_1,01996,1997,SoilShallow,MS,SuperTransect,1,STAboveFalls1,0m,20190619,9:58,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63032801,-158.042535,21.63032801|-158.042535,Ship to Dorrestein lab,,1495.045044,53.65145874,2455.405499,0to3km
